word;repetition
impostos;35
iniciativa;34
ix;34
território;34
interesse;34
publicação;34
vice;34
legislativa;34
país;33
fins;33
função;33
participação;33
orçamentárias;33
judiciário;32
autorização;32
atribuições;32
respectivos;32
mínimo;32
carreira;32
dez;32
financeira;32
outras;31
nesta;31
critérios;31
leis;31
receita;31
proteção;30
assistência;30
empresas;30
lhes;30
civil;30
três;30
pagamento;29
anterior;29
patrimônio;29
órgão;29
absoluta;29
sob;28
legislativo;28
caráter;28
programas;28
brasil;27
título;27
além;27
podendo;27
judicial;27
estabelecer;27
ano;27
segundo;27
municipal;27
neste;27
benefícios;27
refere;27
julgar;27
princípios;26
idade;26
pessoas;26
xii;26
juiz;26
jurídica;26
este;26
eleitoral;26
indireta;26
publicada;26
pesquisa;26
gerais;26
cultura;26
controle;26
estaduais;26
arts;26
livre;25
brasileiros;25
desde;25
autoridade;25
decisão;25
crimes;25
jurisdição;25
garantia;25
base;25
aposentadoria;25
prejuízo;25
somente;25
revogado;25
sociais;24
segurança;24
propriedade;24
acesso;24
estabelecerá;24
pessoal;24
ação;24
habeas;24
quatro;24
vigor;24
exercer;24
sessenta;24
nova;24
previsto;24
proventos;24
promoção;24
contribuições;24
projeto;24
instituir;23
decorrentes;23
utilização;23
econômico;23
menos;23
administrativa;23
forem;23
partir;23
outro;23
produzindo;23
medidas;23
títulos;23
arrecadação;23
plano;23
poderes;22
respectivas;22
emprego;22
conforme;22
cumprimento;22
requisitos;22
respectivo;22
planos;22
instituições;22
montante;22
despesas;22
política;21
outra;21
funcionamento;21
primeiro;21
crime;21
representação;21
relativas;21
âmbito;21
relação;21
crédito;21
estabelecidos;21
servidor;21
terá;21
advogados;21
sociedade;20
diretamente;20
garantias;20
casa;20
profissional;20
jurídico;20
perda;20
aplicação;20
créditos;20
permanente;20
sejam;20
políticos;20
efeito;20
comissão;20
efetivo;20
anual;20
cabendo;20
proposta;20
sessão;20
assegurar;19
valores;19
intervenção;19
formação;19
prestação;19
só;19
houver;19
fiscalização;19
acordo;19
dívida;19
transporte;19
salário;19
eleição;19
voto;19
governador;19
dentro;19
capital;19
terras;19
sítio;19
polícia;19
oficiais;19
causas;19
projetos;19
procurador;19
casas;19
produto;19
competente;18
família;18
seja;18
instituição;18
limite;18
provas;18
ambiente;18
incisos;18
prevista;18
ministro;18
forças;18
nacionais;18
produção;18
derivados;18
orçamento;18
medida;18
milhões;18
total;18
promover;17
econômica;17
cultural;17
obrigações;17
nem;17
privada;17
xiii;17
prévia;17
definidos;17
judiciária;17
renda;17
área;17
quinze;17
prefeito;17
governo;17
terão;17
exterior;17
seguridade;17
financeiro;17
máximo;17
estabelecido;17
despesa;17
tributária;17
aplica;17
indicados;17
especial;17
federativa;16
político;16
informações;16
estrangeiro;16
sentença;16
parte;16
extinção;16
igual;16
preservação;16
todas;16
inovação;16
matéria;16
concurso;16
hipótese;16
fundações;16
cálculo;16
especiais;16
votação;16
precatórios;16
culturais;16
liberdade;15
estrangeiros;15
comunicação;15
xiv;15
rural;15
receber;15
período;15
entidade;15
fixado;15
gestão;15
quarenta;15
quanto;15
município;15
manter;15
ainda;15
atendimento;15
uso;15
transferência;15
economia;15
mista;15
dispor;15
específica;15
superiores;15
nomeados;15
produtos;15
alíquotas;15
brasileiro;14
origem;14
vedado;14
indenização;14
durante;14
xv;14
assim;14
obras;14
fixar;14
guerra;14
corpus;14
nacionalidade;14
duração;14
trabalhadores;14
empresa;14
deficiência;14
cabe;14
armadas;14
observados;14
aprovação;14
população;14
exceto;14
áreas;14
exploração;14
petróleo;14
republicada;14
terços;14
couber;14
exclusivamente;14
realização;14
plurianual;14
necessárias;14
regional;14
processos;14
saber;14
destinados;14
individuais;13
seguinte;13
tem;13
integração;13
assegurado;13
civis;13
xvi;13
julgado;13
aproveitamento;13
pena;13
física;13
fundo;13
redução;13
deliberação;13
revisão;13
pleno;13
far;13
ressalvada;13
domínio;13
defensoria;13
próprio;13
sistemas;13
tecnologia;13
cinquenta;13
também;13
empregos;13
adin;13
única;13
senadores;13
processar;13
regular;13
eleitorais;13
decisões;13
mercadorias;13
agrária;13
todo;12
relações;12
paz;12
objeto;12
débitos;12
sempre;12
ressalvadas;12
onde;12
interesses;12
cuja;12
tenha;12
seis;12
cinqüenta;12
fixados;12
estabelecidas;12
ressalvado;12
disposições;12
aplicando;12
vigência;12
autonomia;12
federação;12
sede;12
unidade;12
minerais;12
fundamental;12
especialmente;12
permissão;12
ciência;12
legislação;12
interno;12
posse;12
subsídios;12
aprovada;12
municipais;12
sete;12
anualmente;12
contribuinte;12
qual;12
manutenção;12
qualidade;12
fixação;12
facultado;12
encargos;12
magistrados;12
recurso;12
reforma;12
providências;12
assembléia;11
quaisquer;11
perante;11
vida;11
ninguém;11
tratamento;11
legal;11
hipóteses;11
local;11
benefício;11
ampla;11
ele;11
mandado;11
constitucionais;11
rurais;11
fim;11
terço;11
contrato;11
grau;11
mesma;11
administrativas;11
obrigatória;11
exercida;11
setenta;11
anteriores;11
escolha;11
lavra;11
comercialização;11
polícias;11
pelas;11
milhão;11
receitas;11
autarquias;11
entes;11
parcela;11
mesa;11
privadas;11
imóveis;11
objetivo;11
prestações;11
democrático;10
estar;10
internacional;10
humanos;10
privado;10
motivo;10
obrigação;10
licença;10
prestar;10
penal;10
ofício;10
mesmo;10
xvii;10
xix;10
ter;10
meios;10
brasileira;10
los;10
comum;10
antes;10
quais;10
provisória;10
sindical;10
propor;10
popular;10
votos;10
razão;10
oito;10
mulher;10
territorial;10
eleito;10
finalidade;10
depois;10
obrigatório;10
eletivo;10
deverá;10
partidos;10
devendo;10
através;10
autorizar;10
fiscalizar;10
indígenas;10
sociedades;10
número;10
legislativas;10
décimos;10
tributos;10
técnica;10
decreto;10
agentes;10
mensal;10
disciplinará;10
titulares;10
integrantes;10
financiamento;10
comissões;10
abertura;10
comuns;10
suplementares;10
caberá;10
efetiva;10
escolhidos;10
infrações;10
ingresso;10
auxiliares;10
básica;10
corrente;10
líquida;10
dever;10
programação;10
interna;9
garantir;9
formas;9
conflitos;9
virtude;9
proporcional;9
decorrente;9
profissionais;9
podem;9
xviii;9
têm;9
xxii;9
ressalvados;9
xxv;9
assegurados;9
tendo;9
coletivo;9
abuso;9
julgamento;9
esta;9
prisão;9
imediatamente;9
responsável;9
partido;9
lo;9
registro;9
condição;9
atender;9
trabalhador;9
horas;9
custeio;9
grave;9
tiver;9
estrangeira;9
maiores;9
subseqüente;9
transitada;9
unidades;9
distribuição;9
definidas;9
naturais;9
marinha;9
energia;9
gás;9
decretar;9
organizar;9
regimento;9
administrativos;9
quinhentos;9
adequado;9
externo;9
desembargadores;9
indiretamente;9
fiscais;9
atuação;9
desempenho;9
parcelas;9
merecimento;9
homem;9
tratam;9
correspondente;9
apreciar;9
previamente;9
exército;9
expedição;9
provisórias;9
orçamentos;9
ilibada;9
situação;9
penais;9
jurisdicional;9
vinculados;9
relativamente;9
indicado;9
dispuser;9
destinação;9
fundos;9
programa;9
tecnológica;9
adolescente;9
igualdade;8
soberania;8
internacionais;8
cooperação;8
fazer;8
dano;8
moral;8
dia;8
sigilo;8
criminal;8
xxi;8
autorizadas;8
proprietário;8
cujo;8
há;8
eles;8
administrativo;8
admitida;8
responsáveis;8
conceder;8
pode;8
ficando;8
judiciais;8
necessários;8
emendas;8
inferior;8
incentivos;8
face;8
admissão;8
tributárias;8
empregadores;8
final;8
aplicam;8
essenciais;8
oficial;8
secreto;8
enquanto;8
definir;8
estrutura;8
televisão;8
determinado;8
colaboração;8
natural;8
elaborar;8
radiodifusão;8
interestadual;8
específicas;8
zelar;8
complementares;8
eficácia;8
planejamento;8
corresponderá;8
prover;8
término;8
transformado;8
trezentos;8
primitivo;8
renumerado;8
incluídos;8
mês;8
parecer;8
dependerá;8
impedimento;8
nomeação;8
vez;8
noventa;8
pagos;8
reclamações;8
avaliação;8
legais;8
provenientes;8
disponibilidade;8
alternadamente;8
aprovar;8
delegação;8
aeronáutica;8
central;8
veto;8
elaboração;8
promulgação;8
patrimonial;8
reputação;8
questão;8
escola;8
remoção;8
partes;8
disciplinares;8
advocacia;8
diferentes;8
notável;8
esferas;8
urbana;8
alíquota;8
imóvel;8
subsequente;8
combustíveis;8
políticas;8
fundamentais;7
cidadania;7
eleitos;7
objetivos;7
deveres;7
coletivos;7
material;7
científica;7
atendidas;7
informação;7
nele;7
dele;7
prévio;7
xx;7
desapropriação;7
definida;7
apreciação;7
respeito;7
integridade;7
preso;7
advogado;7
mantido;7
agente;7
norma;7
histórico;7
integral;7
gratuita;7
facultada;7
compensação;7
revogada;7
proibição;7
categoria;7
competindo;7
exclusiva;7
natos;7
estes;7
domicílio;7
governadores;7
meses;7
adoção;7
haja;7
eleições;7
recebimento;7
financeiros;7
rádio;7
delas;7
integram;7
ão;7
participar;7
cursos;7
bombeiros;7
convocação;7
obedecido;7
portadoras;7
solo;7
federados;7
regulamentação;7
impedimentos;7
janeiro;7
nove;7
conselhos;7
força;7
fixadas;7
observância;7
sido;7
provimento;7
declarado;7
exoneração;7
prioridade;7
serem;7
percentual;7
pensões;7
exceder;7
mantidas;7
praticados;7
aperfeiçoamento;7
ente;7
pensão;7
risco;7
participantes;7
incidirá;7
estável;7
vaga;7
conferidas;7
juros;7
compõe;7
referentes;7
banco;7
provocação;7
recondução;7
última;7
cidadãos;7
relatório;7
junto;7
lista;7
mesmas;7
estatuto;7
manifestações;7
organizado;7
destinadas;7
importação;7
operação;7
circulação;7
setor;7
criança;7
representantes;6
povo;6
destinado;6
constitui;6
visando;6
comunidade;6
iguais;6
distinção;6
submetido;6
locais;6
último;6
processual;6
permanecer;6
apenas;6
trânsito;6
xxiii;6
xxiv;6
procedimento;6
desportivas;6
filhos;6
ilegalidade;6
haverá;6
juízo;6
exceção;6
afins;6
decretação;6
regulará;6
morte;6
declarada;6
asseguradas;6
nenhum;6
naturalização;6
devido;6
ela;6
inerentes;6
proteger;6
imediata;6
aprovados;6
urbanos;6
seguro;6
vinculação;6
constituindo;6
resultados;6
dependentes;6
salários;6
dezoito;6
observada;6
definirá;6
idoneidade;6
próprios;6
filiação;6
senador;6
deputado;6
candidato;6
contar;6
prazos;6
incorporação;6
proporcionais;6
disciplina;6
essa;6
referidas;6
índios;6
resultado;6
ocupação;6
declarar;6
emitir;6
imagens;6
urbano;6
transportes;6
nucleares;6
privativamente;6
poupança;6
efetivos;6
contratação;6
artístico;6
preservar;6
desporto;6
regiões;6
constituídas;6
dispõem;6
outubro;6
turno;6
relativos;6
inteiros;6
aplicar;6
infantil;6
disposição;6
maior;6
estiver;6
autoridades;6
legalidade;6
privativa;6
incluídas;6
científico;6
jurídicas;6
restrições;6
metas;6
afastamento;6
doença;6
médio;6
conta;6
considerados;6
estabilidade;6
incentivará;6
setoriais;6
ministérios;6
convocar;6
sanções;6
ad;6
solicitar;6
fato;6
alteração;6
metade;6
reserva;6
tenham;6
mencionados;6
antigüidade;6
nomear;6
sujeitos;6
mensagem;6
declaração;6
magistratura;6
normativo;6
referidos;6
pequeno;6
inclusão;6
publicadas;6
instância;6
incidente;6
funcional;6
contribuintes;6
destinatário;6
programações;6
agrícola;6
familiar;6
jovem;6
casamento;6
constituem;5
justa;5
discriminação;5
independência;5
obrigado;5
coletiva;5
fixada;5
expressão;5
nela;5
determinação;5
fonte;5
necessário;5
reunir;5
associação;5
associações;5
cooperativas;5
estatal;5
garantido;5
atenderá;5
xxvi;5
promoverá;5
xxxiii;5
prestadas;5
prática;5
sujeito;5
anistia;5
ilícito;5
entorpecentes;5
drogas;5
processuais;5
injunção;5
prerrogativas;5
conhecimento;5
custas;5
tratados;5
turnos;5
alimentação;5
desemprego;5
extensão;5
complexidade;5
baixa;5
normal;5
horários;5
específicos;5
adicional;5
escolas;5
diferença;5
menores;5
peculiaridades;5
exigir;5
questões;5
sindicatos;5
direção;5
greve;5
decidir;5
duzentos;5
direto;5
pais;5
estejam;5
deles;5
naturalizados;5
residência;5
residente;5
permanência;5
partidária;5
distrital;5
quem;5
curso;5
contados;5
dará;5
parlamentar;5
regras;5
permanentes;5
compreende;5
transformação;5
documentos;5
criar;5
fronteiras;5
ambiental;5
correntes;5
excluídas;5
potenciais;5
hídricos;5
elétrica;5
celebrar;5
estrangeiras;5
comércio;5
executar;5
ordenação;5
explorar;5
institucionais;5
sonora;5
sons;5
duas;5
danos;5
legislar;5
comercial;5
corpos;5
matérias;5
equilíbrio;5
tributário;5
procedimentos;5
contrário;5
terceiros;5
espécie;5
domingo;5
perderá;5
câmaras;5
cem;5
percentuais;5
transferências;5
essencial;5
exercido;5
observadas;5
investidura;5
nomeações;5
aquele;5
aprovado;5
convocado;5
exercidas;5
ocupantes;5
procuradores;5
acréscimos;5
controladas;5
mencionadas;5
exigências;5
carreiras;5
dela;5
externa;5
ficará;5
havendo;5
vide;5
membro;5
ocasião;5
portadores;5
fechadas;5
isenções;5
fontes;5
princípio;5
financeiras;5
emissão;5
atribuição;5
mesas;5
comandantes;5
aqueles;5
determinar;5
missão;5
pedido;5
perder;5
chefe;5
relevante;5
elas;5
possível;5
inquérito;5
recesso;5
subseção;5
consolidação;5
relativa;5
ambos;5
aumento;5
adicionais;5
ativo;5
parcialmente;5
constituir;5
resolução;5
instituídas;5
própria;5
tratado;5
realizadas;5
expedir;5
relacionados;5
fases;5
entrância;5
comarca;5
interessado;5
juízos;5
graus;5
varas;5
inferiores;5
estipulados;5
preferência;5
econômicas;5
ativa;5
entrega;5
incidência;5
esse;5
vedação;5
julgados;5
súmula;5
requisitar;5
mandados;5
região;5
segurados;5
segurado;5
denominação;5
difusão;5
rendimentos;5
exportação;5
interestaduais;5
privados;5
níveis;5
fiscal;5
compreendidos;5
lubrificantes;5
concedidos;5
fomento;5
remanejamento;5
valorização;5
universalização;5
fundada;4
solução;4
dignidade;4
humana;4
desigualdades;4
inviolabilidade;4
deixar;4
senão;4
manifestação;4
inviolável;4
artística;4
delito;4
dados;4
reunião;4
legitimidade;4
necessidade;4
produtiva;4
dispondo;4
xxvii;4
xxviii;4
assegurará;4
industriais;4
temporário;4
vista;4
tecnológico;4
xxx;4
consumidor;4
aquelas;4
taxas;4
tráfico;4
grupos;4
nenhuma;4
suspensão;4
publicidade;4
policial;4
violência;4
constantes;4
registros;4
cidadão;4
vise;4
autor;4
fé;4
moradia;4
lazer;4
melhoria;4
causa;4
preservem;4
piso;4
salarial;4
realizado;4
extraordinário;4
mercado;4
acordos;4
excluir;4
critério;4
sindicato;4
interessados;4
folha;4
organizações;4
cometidos;4
discussão;4
destes;4
esteja;4
repartição;4
condenação;4
privativos;4
diplomática;4
universal;4
plebiscito;4
referendo;4
mandatos;4
titular;4
inatividade;4
considerada;4
impugnado;4
cancelamento;4
celebração;4
gratuito;4
consulta;4
populações;4
pertencem;4
devolutas;4
rios;4
água;4
fluviais;4
ilhas;4
zona;4
sítios;4
faixa;4
permitir;4
temporariamente;4
moeda;4
câmbio;4
articulação;4
básico;4
marítima;4
monopólio;4
atendidos;4
toda;4
existência;4
jazidas;4
bases;4
licitação;4
diretas;4
guarda;4
democráticas;4
setores;4
concessões;4
juntas;4
consumo;4
integrar;4
pertencentes;4
realizar;4
assumir;4
orgânica;4
realizada;4
composição;4
onze;4
quatrocentos;4
cidade;4
menor;4
proporção;4
auxílio;4
distritais;4
judiciários;4
primeira;4
suspender;4
requisição;4
extraordinária;4
depende;4
mínimos;4
temporária;4
autárquica;4
vantagens;4
vencimentos;4
espécies;4
professor;4
subsidiárias;4
erário;4
determinados;4
componentes;4
produtividade;4
magistério;4
aposentadorias;4
real;4
concedidas;4
parágrafos;4
previdenciária;4
posto;4
aquisição;4
preços;4
físicas;4
estabelecimento;4
deliberações;4
sanção;4
riquezas;4
relevância;4
instauração;4
apresentadas;4
eleger;4
sustação;4
decidida;4
dezembro;4
exercidos;4
urgência;4
audiências;4
conjunto;4
apuração;4
delegadas;4
decretos;4
apresentação;4
imediato;4
disciplinar;4
texto;4
início;4
aprovadas;4
contábil;4
investimentos;4
tríplice;4
ocorrer;4
observar;4
decorridos;4
feita;4
deverão;4
generais;4
propostas;4
esses;4
indicação;4
alíneas;4
próprias;4
quinto;4
notório;4
pretexto;4
judiciárias;4
ouvidos;4
dotações;4
oriundos;4
sentenças;4
credor;4
fazenda;4
devedora;4
índice;4
incidirão;4
entregues;4
referida;4
originariamente;4
organismo;4
coator;4
reclamação;4
contrariar;4
dispositivo;4
vinculante;4
repercussão;4
determinará;4
denúncias;4
territoriais;4
equipamentos;4
comunitários;4
beneficiários;4
compor;4
mínimas;4
permitida;4
estabelecerão;4
vedações;4
compatíveis;4
instrumento;4
decretado;4
adotadas;4
estruturado;4
assegurem;4
capacidade;4
diferenciado;4
porte;4
diferenciadas;4
cobrança;4
concorrência;4
tributo;4
gerador;4
cobrado;4
transmissão;4
veículos;4
desses;4
oferta;4
decorrência;4
brasileiras;4
apoiará;4
estimulará;4
diversidade;4
rede;4
substâncias;4
escolar;4
práticas;4
existentes;4
si;3
sexo;3
povos;3
garantindo;3
coisa;3
pensamento;3
resposta;3
imagem;3
crença;3
garantida;3
religiosa;3
recusar;3
cumprir;3
alternativa;3
intimidade;3
flagrante;3
correspondência;3
comunicações;3
abertos;3
exigido;3
plena;3
suspensas;3
exigindo;3
representar;3
dinheiro;3
iminente;3
particular;3
pequena;3
financiar;3
autores;3
exclusivo;3
reprodução;3
coletivas;3
sindicais;3
xxix;3
nomes;3
xxxi;3
regulada;3
cônjuge;3
situações;3
lesão;3
der;3
inafiançável;3
considerará;3
respondendo;3
condenado;3
transferido;3
restrição;3
multa;3
penas;3
extradição;3
contraditório;3
ilícitos;3
considerado;3
admitir;3
alimentícia;3
sofrer;3
classe;3
constituída;3
falta;3
regulamentadora;3
governamentais;3
fazê;3
moralidade;3
comprovada;3
insuficiência;3
óbito;3
garantam;3
convenções;3
quintos;3
equivalentes;3
maternidade;3
infância;3
necessidades;3
convenção;3
nunca;3
noturno;3
retenção;3
lucros;3
pago;3
ininterruptos;3
negociação;3
férias;3
anuais;3
pré;3
empregador;3
culpa;3
resultantes;3
portador;3
quatorze;3
fundação;3
vedadas;3
fixará;3
tratando;3
filiado;3
empregado;3
suplente;3
devam;3
defender;3
colegiados;3
previdenciários;3
empregados;3
nascidos;3
originários;3
países;3
língua;3
portuguesa;3
atribuídos;3
adquirir;3
símbolos;3
eleitores;3
mínima;3
pleito;3
já;3
diplomação;3
recusa;3
fusão;3
preceitos;3
adotar;3
estatutos;3
válidos;3
distribuídos;3
apresentados;3
indispensáveis;3
vias;3
lagos;3
terrenos;3
lacustres;3
mar;3
ocupadas;3
fronteira;3
transitem;3
permaneçam;3
seguros;3
aéreo;3
regulador;3
instalações;3
navegação;3
aeroespacial;3
aeroportuária;3
portos;3
corpo;3
classificação;3
habitação;3
saneamento;3
radioisótopos;3
inspeção;3
marítimo;3
águas;3
mobilização;3
rodoviária;3
ferroviária;3
modalidades;3
administrações;3
autárquicas;3
propaganda;3
relacionadas;3
fauna;3
acompanhar;3
paisagístico;3
juventude;3
limitar;3
suplementar;3
exercerão;3
constituições;3
edição;3
urbanas;3
incluem;3
acima;3
daquele;3
assembléias;3
ocorrerá;3
secretários;3
votada;3
promulgará;3
aplicadas;3
oitenta;3
dezessete;3
seiscentos;3
legislatura;3
ultrapassar;3
enviar;3
assuntos;3
deve;3
aplicará;3
nomeado;3
instâncias;3
comprometimento;3
finanças;3
consecutivos;3
resultante;3
proveniente;3
especificará;3
funcionando;3
motivos;3
eficiência;3
confiança;3
destinam;3
remuneratória;3
aplicável;3
remunerada;3
compatibilidade;3
autarquia;3
autorizada;3
alienações;3
atuarão;3
integrada;3
convênio;3
orientação;3
nulidade;3
usuário;3
prescrição;3
ocupante;3
administradores;3
dirigentes;3
percepção;3
fica;3
investido;3
exija;3
contado;3
diferenciados;3
abono;3
orçamentários;3
ativos;3
pensionistas;3
abrangidos;3
aposentados;3
invalidez;3
deu;3
referência;3
consideradas;3
regimes;3
exerçam;3
cujas;3
totalidade;3
excedente;3
sujeitas;3
adição;3
instituído;3
opção;3
atualizados;3
fará;3
jus;3
equivalente;3
organizadas;3
juntamente;3
custos;3
proprietários;3
ajustes;3
elegerá;3
tomadas;3
sustar;3
regulamentar;3
controlar;3
renovação;3
emissoras;3
hectares;3
presidência;3
justificação;3
adequada;3
parâmetros;3
argüição;3
diretores;3
globais;3
avaliar;3
diploma;3
ocorrido;3
representado;3
uniformes;3
demissíveis;3
nutum;3
incompatível;3
sessões;3
ordinárias;3
suspensos;3
renúncia;3
possa;3
ultrapasse;3
la;3
julho;3
essas;3
transferidas;3
conjunta;3
compromisso;3
conhecer;3
presidentes;3
requerimento;3
tanto;3
parlamentares;3
participam;3
plenário;3
criadas;3
obtiver;3
promulgada;3
las;3
detenção;3
implique;3
produzirá;3
iniciada;3
examinar;3
sucessivamente;3
parcial;3
decorrido;3
rejeitado;3
novo;3
operacional;3
irregularidade;3
instrumentos;3
exato;3
solicitará;3
débito;3
prestados;3
irregular;3
integrado;3
jurídicos;3
substituição;3
vigente;3
idoso;3
regulamentos;3
instituídos;3
agressão;3
observarão;3
coordenação;3
supervisão;3
líderes;3
opinar;3
tipo;3
antiguidade;3
categorias;3
inamovibilidade;3
auxílios;3
correicional;3
competentes;3
potencial;3
composta;3
assunção;3
cujos;3
restante;3
precatório;3
proferir;3
concentrado;3
modulação;3
caderneta;3
incidentes;3
incluindo;3
compreendido;3
paciente;3
decididos;3
denegatória;3
decididas;3
estabelecida;3
interpretação;3
notariais;3
exercerá;3
corregedor;3
diversos;3
domiciliada;3
compõem;3
itinerante;3
servindo;3
funcionar;3
jurisdicionado;3
detrimento;3
abrangidas;3
sujeita;3
conflito;3
organizarão;3
indisponíveis;3
consultoria;3
indicará;3
calamidade;3
prorrogação;3
fatos;3
comprovem;3
localidade;3
atribuir;3
ficam;3
destina;3
cabem;3
incumbe;3
limitações;3
tributar;3
definição;3
discriminados;3
empréstimos;3
investimento;3
vinculada;3
faturamento;3
lucrativos;3
finalidades;3
pagar;3
nelas;3
sócio;3
seletivo;3
reduzido;3
impacto;3
progressivo;3
possua;3
máximas;3
destinem;3
localização;3
mercadoria;3
compreenderá;3
exportações;3
modo;3
venda;3
incorporados;3
destinada;3
rateio;3
tesouro;3
conterá;3
antecipação;3
equitativa;3
correspondentes;3
inativo;3
humano;3
eliminação;3
incentivo;3
equilibrado;3
bruto;3
álcool;3
diretor;3
expansão;3
garantirá;3
cobertura;3
criado;3
progressiva;3
combate;3
endemias;3
rendimento;3
comunitária;3
vincular;3
apoio;3
padrão;3
universidades;3
educacional;3
especializado;3
educando;3
comunidades;3
educacionais;3
estímulo;3
culturas;3
veículo;3
jornalística;3
desse;3
animais;3
primeiros;3
preconceitos;2
pacífica;2
controvérsias;2
formada;2
fundamentos;2
pluralismo;2
independentes;2
solidária;2
pobreza;2
marginalização;2
reduzir;2
cor;2
rege;2
prevalência;2
terrorismo;2
racismo;2
progresso;2
asilo;2
residentes;2
mulheres;2
alguma;2
tortura;2
consciência;2
cultos;2
religiosos;2
culto;2
convicção;2
filosófica;2
imposta;2
intelectual;2
censura;2
invioláveis;2
violação;2
investigação;2
profissão;2
qualificações;2
locomoção;2
armas;2
anteriormente;2
aviso;2
paramilitar;2
interferência;2
associativas;2
perigo;2
herdeiros;2
participações;2
humanas;2
representações;2
criações;2
sucessão;2
situados;2
cujus;2
xxxii;2
xxxiv;2
petição;2
reconhecida;2
júri;2
plenitude;2
punirá;2
liberdades;2
imprescritível;2
reclusão;2
insuscetíveis;2
executores;2
passará;2
reparar;2
cruéis;2
cumprida;2
distintos;2
presos;2
possam;2
praticado;2
processado;2
acusados;2
condenatória;2
identificação;2
informado;2
coação;2
certo;2
legítima;2
participe;2
má;2
lxxiv;2
prestará;2
nascimento;2
adotados;2
visem;2
involuntário;2
unificado;2
básicas;2
higiene;2
periódicos;2
décimo;2
desvinculada;2
definido;2
dependente;2
jornada;2
remunerado;2
domingos;2
gestante;2
paternidade;2
reconhecimento;2
acidentes;2
dolo;2
técnico;2
dezesseis;2
vínculo;2
empregatício;2
simplificação;2
representativa;2
aposentado;2
votar;2
abusos;2
pai;2
mãe;2
residir;2
exigidas;2
reciprocidade;2
favor;2
originária;2
alistamento;2
analfabetos;2
circunscrição;2
vereador;2
inelegíveis;2
prefeitos;2
substituído;2
agregado;2
automaticamente;2
inelegibilidade;2
probidade;2
normalidade;2
impugnação;2
improbidade;2
alterar;2
entrará;2
subordinação;2
obrigatoriedade;2
partidário;2
atingido;2
brasília;2
reguladas;2
novos;2
interessada;2
desmembramento;2
dependerão;2
envolvidos;2
divulgação;2
distinções;2
atualmente;2
vierem;2
praias;2
limítrofes;2
oceânicas;2
costeiras;2
destas;2
contenham;2
afetadas;2
plataforma;2
continental;2
acrescidos;2
hidráulica;2
subterrâneas;2
arqueológicos;2
bélico;2
reservas;2
postal;2
aspectos;2
aérea;2
infra;2
geologia;2
indicativo;2
diversões;2
calamidades;2
secas;2
outorga;2
enriquecimento;2
reprocessamento;2
minérios;2
nuclear;2
usos;2
independe;2
entrada;2
profissões;2
estatístico;2
consórcios;2
conservar;2
arte;2
combater;2
poluição;2
florestas;2
flora;2
fomentar;2
construção;2
promovendo;2
comerciais;2
turístico;2
pequenas;2
suspende;2
reservadas;2
competências;2
depósito;2
triplo;2
quantos;2
doze;2
imunidades;2
antecessores;2
reger;2
interstício;2
suceder;2
setecentos;2
novecentos;2
oitocentos;2
dispõe;2
opiniões;2
palavras;2
proibições;2
